Category,Subcategory,Product Title,Price,Rating,Product URL
Electronics,Laptops,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop",52390,3.9,https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Windows-83EQ0072IN/dp/B0DP7BZ8FD/ref=sr_1_1?dib=eyJ2IjoiMSJ9.mYj4uVhBQcK0_-NS9GYdL_cXg8zZLUneouVrdDV1t2-MQcZCr3kU6uTEW2roo3AKlPy1RDAGoJmGxGBIOM9o64CZRn0OexGv0-WXCqfmQK1iB7OIj-R9W9O0cwWY7IpIDTJ7UZXoLDUnBuwXigg3TG61jEiJXilH8KWewYMTd2DbVcVe5_lejTSVw0jUcALZxQ83emNAah8rJ3iwboGYScTquU5qLtBfDgY7V538-3o.gHyYqEuG4NEGaxV3THdCHODPL6vAxLQybZ1cY0hHceY&dib_tag=se&keywords=laptops&qid=1747506709&sr=8-1
Electronics,Laptops,"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX",62990,4.1,https://www.amazon.in/HP-GeForce-Graphics-Response-15-fb0106AX/dp/B0BWS9YNCX/ref=sr_1_2?dib=eyJ2IjoiMSJ9.mYj4uVhBQcK0_-NS9GYdL_cXg8zZLUneouVrdDV1t2-MQcZCr3kU6uTEW2roo3AKlPy1RDAGoJmGxGBIOM9o64CZRn0OexGv0-WXCqfmQK1iB7OIj-R9W9O0cwWY7IpIDTJ7UZXoLDUnBuwXigg3TG61jEiJXilH8KWewYMTd2DbVcVe5_lejTSVw0jUcALZxQ83emNAah8rJ3iwboGYScTquU5qLtBfDgY7V538-3o.gHyYqEuG4NEGaxV3THdCHODPL6vAxLQybZ1cY0hHceY&dib_tag=se&keywords=laptops&qid=1747506709&sr=8-2
Electronics,Laptops,"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",34990,4.5,https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_3?dib=eyJ2IjoiMSJ9.mYj4uVhBQcK0_-NS9GYdL_cXg8zZLUneouVrdDV1t2-MQcZCr3kU6uTEW2roo3AKlPy1RDAGoJmGxGBIOM9o64CZRn0OexGv0-WXCqfmQK1iB7OIj-R9W9O0cwWY7IpIDTJ7UZXoLDUnBuwXigg3TG61jEiJXilH8KWewYMTd2DbVcVe5_lejTSVw0jUcALZxQ83emNAah8rJ3iwboGYScTquU5qLtBfDgY7V538-3o.gHyYqEuG4NEGaxV3THdCHODPL6vAxLQybZ1cY0hHceY&dib_tag=se&keywords=laptops&qid=1747506709&sr=8-3
Electronics,Laptops,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",60990,4.6,https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_4?dib=eyJ2IjoiMSJ9.mYj4uVhBQcK0_-NS9GYdL_cXg8zZLUneouVrdDV1t2-MQcZCr3kU6uTEW2roo3AKlPy1RDAGoJmGxGBIOM9o64CZRn0OexGv0-WXCqfmQK1iB7OIj-R9W9O0cwWY7IpIDTJ7UZXoLDUnBuwXigg3TG61jEiJXilH8KWewYMTd2DbVcVe5_lejTSVw0jUcALZxQ83emNAah8rJ3iwboGYScTquU5qLtBfDgY7V538-3o.gHyYqEuG4NEGaxV3THdCHODPL6vAxLQybZ1cY0hHceY&dib_tag=se&keywords=laptops&qid=1747506709&sr=8-4
Electronics,Laptops,"ASUS TUF Gaming A15, 15.6"" (39.62cm) FHD 16:9 144Hz, AMD Ryzen 7 7435HS, Gaming Laptop (16 DDR5/512GB SSD/NVIDIA GeForce RTX 2050/Windows 11 Home/Graphite Black/2.30 Kg), FA506NFR-HN045W",56990,3.9,https://www.amazon.in/ASUS-Gaming-15-6-39-62cm-FA506NFR-HN045W/dp/B0CDQ5CW9V/ref=sr_1_5?dib=eyJ2IjoiMSJ9.mYj4uVhBQcK0_-NS9GYdL_cXg8zZLUneouVrdDV1t2-MQcZCr3kU6uTEW2roo3AKlPy1RDAGoJmGxGBIOM9o64CZRn0OexGv0-WXCqfmQK1iB7OIj-R9W9O0cwWY7IpIDTJ7UZXoLDUnBuwXigg3TG61jEiJXilH8KWewYMTd2DbVcVe5_lejTSVw0jUcALZxQ83emNAah8rJ3iwboGYScTquU5qLtBfDgY7V538-3o.gHyYqEuG4NEGaxV3THdCHODPL6vAxLQybZ1cY0hHceY&dib_tag=se&keywords=laptops&qid=1747506709&sr=8-5
Electronics,Laptops,"Dell Inspiron 3530 Laptop, 13th Gen Intel Core i5-1334U Processor, 16GB, 512GB SSD, 15.6""(39.62cm) FHD 120Hz 250 nits, Backlit KB, Windows 11 + MSO'24 & 15 Month McAfee, Silver, Thin & Light- 1.62kg",54990,3.6,https://www.amazon.in/Dell-Inspiron-i5-1334U-Processor-39-62cm/dp/B0D2Y1BLDT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.mYj4uVhBQcK0_-NS9GYdL_cXg8zZLUneouVrdDV1t2-MQcZCr3kU6uTEW2roo3AKlPy1RDAGoJmGxGBIOM9o64CZRn0OexGv0-WXCqfmQK1iB7OIj-R9W9O0cwWY7IpIDTJ7UZXoLDUnBuwXigg3TG61jEiJXilH8KWewYMTd2DbVcVe5_lejTSVw0jUcALZxQ83emNAah8rJ3iwboGYScTquU5qLtBfDgY7V538-3o.gHyYqEuG4NEGaxV3THdCHODPL6vAxLQybZ1cY0hHceY&dib_tag=se&keywords=laptops&qid=1747506709&sr=8-6
Electronics,Laptops,"HP 255 Notebook, AMD Athlon Silver 7120U,8GB DDR4, 256GB SSD, 15.6-inch(39.6cm),Anti-Glare, HD Laptop, Radeon Graphics, (Win 11, Silver,1.52kg) G10",23265,4.6,https://www.amazon.in/HP-Notebook-15-6-inch-Anti-Glare-Graphics/dp/B0DV984J97/ref=sr_1_7?dib=eyJ2IjoiMSJ9.mYj4uVhBQcK0_-NS9GYdL_cXg8zZLUneouVrdDV1t2-MQcZCr3kU6uTEW2roo3AKlPy1RDAGoJmGxGBIOM9o64CZRn0OexGv0-WXCqfmQK1iB7OIj-R9W9O0cwWY7IpIDTJ7UZXoLDUnBuwXigg3TG61jEiJXilH8KWewYMTd2DbVcVe5_lejTSVw0jUcALZxQ83emNAah8rJ3iwboGYScTquU5qLtBfDgY7V538-3o.gHyYqEuG4NEGaxV3THdCHODPL6vAxLQybZ1cY0hHceY&dib_tag=se&keywords=laptops&qid=1747506709&sr=8-7
Electronics,Laptops,"Lenovo V15 AMD Ryzen 3 7320U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Arctic Grey/1.63 Kg), 83CQ000XIN",28490,3.5,https://www.amazon.in/Lenovo-39-62cm-Antiglare-Windows-83CQ000XIN/dp/B0DVGQPW13/ref=sr_1_8?dib=eyJ2IjoiMSJ9.mYj4uVhBQcK0_-NS9GYdL_cXg8zZLUneouVrdDV1t2-MQcZCr3kU6uTEW2roo3AKlPy1RDAGoJmGxGBIOM9o64CZRn0OexGv0-WXCqfmQK1iB7OIj-R9W9O0cwWY7IpIDTJ7UZXoLDUnBuwXigg3TG61jEiJXilH8KWewYMTd2DbVcVe5_lejTSVw0jUcALZxQ83emNAah8rJ3iwboGYScTquU5qLtBfDgY7V538-3o.gHyYqEuG4NEGaxV3THdCHODPL6vAxLQybZ1cY0hHceY&dib_tag=se&keywords=laptops&qid=1747506709&sr=8-8
Electronics,Laptops,"Acer Aspire Lite, AMD Ryzen 3 5300U Processor (8GB RAM, 512GB SSD) Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Premium Thin and Light Laptop",26990,3.9,https://www.amazon.in/Acer-Smartchoice-Premium-Windows-AL15-41/dp/B0CWTSF1TK/ref=sr_1_9?dib=eyJ2IjoiMSJ9.mYj4uVhBQcK0_-NS9GYdL_cXg8zZLUneouVrdDV1t2-MQcZCr3kU6uTEW2roo3AKlPy1RDAGoJmGxGBIOM9o64CZRn0OexGv0-WXCqfmQK1iB7OIj-R9W9O0cwWY7IpIDTJ7UZXoLDUnBuwXigg3TG61jEiJXilH8KWewYMTd2DbVcVe5_lejTSVw0jUcALZxQ83emNAah8rJ3iwboGYScTquU5qLtBfDgY7V538-3o.gHyYqEuG4NEGaxV3THdCHODPL6vAxLQybZ1cY0hHceY&dib_tag=se&keywords=laptops&qid=1747506709&sr=8-9
Electronics,Laptops,"Lenovo IdeaPad Slim 3, Intel Core i3, 12th Gen, 8GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Office Home 2024, Arctic Grey, 1.63Kg, 82RK01ABIN, Intel UHD Graphics, 1Yr ADP Free Laptop",32990,3.9,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Warranty-82RK006DIN/dp/B0B4JPC8GT/ref=sr_1_10?dib=eyJ2IjoiMSJ9.mYj4uVhBQcK0_-NS9GYdL_cXg8zZLUneouVrdDV1t2-MQcZCr3kU6uTEW2roo3AKlPy1RDAGoJmGxGBIOM9o64CZRn0OexGv0-WXCqfmQK1iB7OIj-R9W9O0cwWY7IpIDTJ7UZXoLDUnBuwXigg3TG61jEiJXilH8KWewYMTd2DbVcVe5_lejTSVw0jUcALZxQ83emNAah8rJ3iwboGYScTquU5qLtBfDgY7V538-3o.gHyYqEuG4NEGaxV3THdCHODPL6vAxLQybZ1cY0hHceY&dib_tag=se&keywords=laptops&qid=1747506709&sr=8-10
